BLOCKGROUP,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,NEIGHBORHOODS_INCLUDED,NEIGHBORHOOD_DISTRICT_NUMBER,NEIGHBORHOOD_DISTRICT_NAME
530330085003,First Hill,Urban Center Village,"First Hill, Yesler Terrace, Squire Park",6,East
530330086001,12th Avenue,Urban Center Village,"First Hill, Yesler Terrace, Squire Park",6,East
530330086002,12th Avenue,Urban Center Village,"First Hill, Yesler Terrace, Squire Park",6,East
530330086003,12th Avenue,Urban Center Village,"First Hill, Yesler Terrace, Squire Park",6,East
530330087001,Outside Villages,Outside Villages,"Central Area, Mann, Minor, Squire Park",5,Central
530330087002,23rd & Union-Jackson,Residential Urban Village,"Central Area, Mann, Minor, Squire Park",5,Central
530330087003,23rd & Union-Jackson,Residential Urban Village,"Central Area, Mann, Minor, Squire Park",5,Central
530330088001,Outside Villages,Outside Villages,"Central Area, Mann, Minor, Squire Park",5,Central
530330088002,23rd & Union-Jackson,Residential Urban Village,"Central Area, Mann, Minor, Squire Park",5,Central
530330088003,23rd & Union-Jackson,Residential Urban Village,"Central Area, Mann, Minor, Squire Park",5,Central
530330089001,Outside Villages,Outside Villages,"Madrona, Leschi, Harrison/Denny-Blaine",5,Central
530330089002,Outside Villages,Outside Villages,"Madrona, Leschi, Harrison/Denny-Blaine",5,Central
530330089003,23rd & Union-Jackson,Residential Urban Village,"Madrona, Leschi, Harrison/Denny-Blaine",5,Central
530330089004,Outside Villages,Outside Villages,"Madrona, Leschi, Harrison/Denny-Blaine",5,Central
530330090001,23rd & Union-Jackson,Residential Urban Village,"Judkins Park, Central Area, Little Saigon, Atlantic",5,Central
530330090002,23rd & Union-Jackson,Residential Urban Village,"Judkins Park, Central Area, Little Saigon, Atlantic",5,Central
530330091001,Chinatown-International District,Urban Center Village,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",13,Downtown
530330091002,Chinatown-International District,Urban Center Village,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",13,Downtown
530330092001,Chinatown-International District,Urban Center Village,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",13,Downtown
530330092002,Pioneer Square,Urban Center Village,"Pioneer Square, International District, Chinatown, Little Saigon, ID, Chinatown-International District",13,Downtown
530330093001,Greater Duwamish,Manufacturing Industrial,"Duwamish, SODO, Pioneer Square",3,Greater Duwamish
530330093002,Greater Duwamish,Manufacturing Industrial,"Duwamish, SODO, Pioneer Square",3,Greater Duwamish
530330093003,Greater Duwamish,Manufacturing Industrial,"Duwamish, SODO, Pioneer Square",3,Greater Duwamish
